comment_id,comment
180,আমার যদি কয়েক হাজার বছর হায়াত থাকতো তাহলে এই টেনটা দেকে যেতে পারতাম
181,পাউল নিউজ
182,"আমাদের যদি বাশের বাগান থাকতো, তাহলে আমি নিযেই এটি তৌরি করতাম🤩🤩🤩🙈"
183,Egula gujob
184,"এ সমস্ত সংবাদ আমাদের জন্য হাস্যকর, আমরা এখনো পুরোনো জামানার ধীর গতির রেল গাড়ি চালাতে পারছি না চলতে চলতে এর ইঞ্জিন রাস্তায় গিয়ে আছড়ে পড়ে তাই বলব গাছে কাঁঠাল গোঁফে তেল"
185,"বালের রিপোর্ট বানাও কোন বিস্তারিত নাই কিছু নাই,,,যাইহোক ভেকিউম প্রযুক্তি হিসেবে গতি১২০০ খুব একটা বেশি না প্রথমে সুনছিলাম ২০০০ এর বেশি হবে আর পাওয়ার কি মেগ্লেভ এর সাহায্যে আসবে নাকি বায়ু চাপ দিয়ে চালানো হবে তাও কিছু বল্লেন না"
186,"যত গতি,  তত ক্ষতি 🙄"
187,Hyper loop huhh !! We have ena poribohon and hanif poribohon 😁😂
188,রিপোর্টার সায়রা খান আপনি কি বিমানের গতি জানেন? যাত্রীবাহী বিমান ৫০০-৯০০ কিমি বেগে চলে। তাহলে হাইপারলুপ ক্যাপসুল ১২০০ কিমি বেগে কিভাবে বিমানের ৪ ঘন্টার পথ ৩০মিনিটে অতিক্রম করবে??  লসএঞ্জেলস থেকে সানফ্রানসিস্কো বিমানে যেতে ১-১.৫ ঘন্টা লাগে
189,Asuk than news than
190,"আসুন আমরা সবাই পাঁচ ওয়াক্ত নামাজ আদায় করি ।
কারণ 
আপনার মৃত্যু কোথায় হবে গ্যারান্টি নেই ।। 
কুল্লু নাফসিন জাইকাতুল মাউত ।😌💓💓💓 

এই হাইপার লুপ ক্যাপসুল এর শুধু কাঁচ  বাংলাদেশ আসতে আসতে মন্ত্রী এমপিরা ভাগ করতে করতে শেষ করে ফেলবে । বাংলাদেশ এর মানুষ স্বপ্নে দেখতে পারবে না হাইপার লুপ ক্যাপসুল যদি বাংলাদেশে এর দূর্নীতি বন্ধ না হয়।😄😃😃😃"
191,Wow wow😍😍
192,"ঝামেলা হলে সহজে উপরে পৌছে যাবে,চিহ্ন আর পাওয়া যাবেনা"
193,বিমান কি ঘন্টায় ৩০০ কিলোমিটার যায়?
