comment_id,comment
11161,"মহান আল্লাহ্ চাইলে একটা সামান্য প্রাণীই যথেষ্ট সমগ্র বিশ্বকে এক নিমিষেই ধ্বংস করে দিতে, এটা তারই একটা নমুনা মাত্র। নিশ্চয়ই আল্লাহ্ সীমা লংঘন কারীদের পছন্দ করেন না। আল্লাহু আকবর।💞 আল্লাহ্ সবাইকে হেদায়েত দান করুন, আমীন 💞"
11162,"আল্লাহ গজব ছাড়া কিছু না। 
ভূমিকম্পের, বন্যা,ভাইরাস,দাবানল,পঙ্গপালের ঝাক, বাদুরের ঝাক,,,,, সবই আল্লাহর তরফ থেকে শাস্তি। যেনো আমরা এগুলো থেকে শিক্ষা নিতে পারি"
11163,আল্লাহর গজব শুরু হলো কারণ আল্লাহর সৃষ্টি উট মারার ফল
11164,Ask forgiveness to Almighty Allah .
11165,আল্লাহর কসম নিঃসন্দেহে এগুলা আল্লাহর গজব।ইয়া আল্লাহ্ আপনি আমাদেরকে তওবা করার তৌফিক ও হেদায়েত দান করুন।আমিন
11166,Gay marriage put ki diya bair koira dise.  Allah gojob dao emon gojob jate khankir desh matir niche choila jaye
11167,"বাদুর রাতে জাগে আর দিনে ঘুমায়
অথচ এখানে রহস্যময়!! 
বিষয়টা সত্যিই চিন্তার....."
11168,"BD teo Hobe , Iman nai karo"
11169,Ai badur jodi chiner akhashe thakto tobe atokkone shalara shob shabar kore dito
11170,মনে ঽয় ঔখান কার মানুষ গুলি শয়তানের উপাসনা করে ( jews) । বা সীমালংগন করেছে তাই আল্লাহ অভিশাপ দিতেছে।
11171,এগুলো সব আল্লাহর গজব
11172,মহান আল্লাহ  সর্বশক্তিমান।
11173,"Allah chile sob parre, buje na abujra"
11174,কয়দিন পর ঢাকাবাসী মশার জালায় ঘর থেকে বের হতে পারবে না
11175,আল্লাহর বিচার আল্লা করে
11176,Batman
11177,*আল্লাহর গজব*
11178,যেসকল রাষ্ট্র কোরআনের নিষিদ্ধ কাজ গুলো করতে অতি উৎসাহী তাদের উপর যুগে যুগে এইভাবেই আল্লাহর লানত আরম্ভ হয়।যারা বিবেক থাকতেও সত্যিকে নিয়ে গবেষণা করে না তারা হলো সবচেয়ে বড় প্রতিবন্ধী।
11179,"Give me opportunity 
I want entry there  nd i wanna solve ur problems"
11180,চীনাদের কে পাঠিয়ে দেও  সব কিছু ঠিক করে দেবে😜😜
11181,"Australia te jevabey dabanol hoyechilo kisudin agey,tar e ekta side effect Mone hocchey.agey tw badur gulo boner(forest) gachey thakto...dabanol gach komey jaoyai badur gulo ekhane sekhane ghurchey."
11182,Batman কে Oscar না দিয়ে Joker কে দিলেতো বাদুর বাহিনী এইভাবেই ক্ষেপে যাবে
11183,এটা যদি চিন হতো তাহলে এত দিনে বাদুরের সূপ বানিয়ে খেয়ে নিতো😂😂😂
11184,বিভিন্ন বালা মুছিবত থেকে আল্লাহ আমাদের সবাইকে হেফাজত করুক এই কামনা করি।
11185,আলহামদুলিল্লাহ আল্লাহ আমাদেরকে অনেক হেফাজতে রেখেছেন ❤
